num_pozo,empresa,propietario,propietariotel,propietariofax,propietariopostal,propietarioemail,propietariodirec,agua uso,Uso del agua agregado,caudal,direcpozo,profundidad,sperfora,captar,hojacarto,latitud,longitud,altitud,provincia,canton,distrito,lugar,fechaap
AB-1055,SIN DATO,COOPETICO,,,,,,DOMESTICO,Consumo humano,1.00,,41.00,PERCUSION,Colima y Barva,ABRA,212500,512100,900.00,1,109,10905,PIEDADES,1987-03-13
AB-1056,GERARDO ROJAS P.,RAFAEL MADRIGAL,,,,,,DOMESTICO,Consumo humano,3.00,,29.00,ROTACION,G Abra R Grande,ABRA,211750,533150,1210.00,1,118,11801,GUAYABOS,1987-04-14
AB-1057,RIEGO Y POZOS,JORGE DEJUK,,,,,,DOMESTICO,Consumo humano,1.00,,30.00,PERCUSION,Colima y Barva,ABRA,218450,511150,880.00,2,201,20105,RINCON DE MONGE,1987-03-31
AB-1058,COSTARRICENSE S.A.,MARIO DIAZ SANCHEZ,,,,,,DOMESTICO,Consumo humano,1.00,,35.00,PERCUSION,Colima y Barva,ABRA,212970,531000,1220.00,1,115,11501,SAN PEDRO,1987-03-31
AB-1059,COSTARRICENSE S.A.,DURMAN ESQUIVEL,,,,,,DOMESTICO,Consumo humano,0.63,,50.00,PERCUSION,Colima y Barva,ABRA,214400,528600,1100.00,1,108,10803,CALLE BLANCOS,1987-04-08
AB-106,SENARA,NUMAR S.A.,,,,,,ABANDONADO,Consumo humano,,,42.67,PERCUSION,Colima y Barva,ABRA,212100,526450,1035.70,1,101,10103,KILOMETRO 7,1968-06-11
AB-1060,COSTARRICENSE S.A.,RADIO MIL TI.M.I.L,,,,,,DOMESTICO,Consumo humano,1.70,,93.00,PERCUSION,Colima y Barva,ABRA,212050,530000,1150.00,1,101,10105,MANGOS,1987-04-08
AB-1061,FONT S.A.,GEORGE AND MARGARET BURT,,,,,,DOMESTICO,Consumo humano,2.00,,57.00,OTRO,G Abra R Grande,ABRA,211430,514850,1000.00,1,109,10904,CHIMBA RIO ORO,1987-04-09
AB-1062,ROYPE S.A.,RAPISA,,,,,,DOMESTICO,Consumo humano,0.65,,30.00,PERCUSION,Colima y Barva,ABRA,212120,521250,1040.00,1,102,10201,ESCAZU,1987-04-09
AB-1063,FONT S.A.,ROCH GIUSTINIANI,,,,,,DOMESTICO,Consumo humano,0.63,,45.00,ROTACION,Colima y Barva,ABRA,213610,525660,1100.00,1,101,10102,IGLESIAS FLORES,1987-04-09
AB-1064,COSTARRICENSE S.A.,ALBERTO DELGADO SOTO,,,,,,DOMESTICO,Consumo humano,0.63,,60.00,PERCUSION,Colima y Barva,ABRA,213180,511450,800.00,1,109,10906,CANJEL,1987-04-10
AB-1065,COSTARRICENSE S.A.,ALONSO JOSE LARA TOMAS,,,,,,DOMESTICO,Consumo humano,0.75,,44.50,PERCUSION,G Abra R Grande,ABRA,210550,522900,1100.00,1,102,10202,BELLO HORIZONTE,1987-04-20
AB-1066,ROYPE S.A.,OFICINA M.A.G ALAJUELA,,,,,,RIEGO,Agroganadería,1.00,,50.00,PERCUSION,Colima y Barva,ABRA,218700,511750,870.00,2,201,20105,RINCON DE MONGE,1987-04-23
AB-1067,HIDROMAQ S.A.,RETIRO DEL OESTE S.A,,,,,,DOMESTICO,Consumo humano,0.75,,60.00,PERCUSION,Colima y Barva,ABRA,213600,519550,1023.00,1,102,10203,AYALA,1987-08-03
AB-1068,COSTARRICENSE S.A.,HOTEL AMSTEL S.A,,,,,,TURISTICO,Turismo,1.00,,40.00,PERCUSION,Colima y Barva,ABRA,213815,528090,1100.00,1,108,10802,TOURNON,1987-07-05
AB-1069,AGROPOZO,PLAZA DEL SOL,,,,,,DOMESTICO,Consumo humano,2.40,,50.00,PERCUSION,Colima y Barva,ABRA,212500,531800,1200.00,1,118,11801,,1987-05-11
AB-107,COSTARRICENSE S.A.,IND. ALIMENTICIAS,,,,,,INDUSTRIAL,Industrial y comercial,1.90,,47.20,PERCUSION,Colima y Barva,ABRA,212080,526400,1155.00,1,101,10103,ALMENDARES,1968-05-15
AB-1070,AGROPOZO,PLAZA DEL SOL,,,,,,DOMESTICO,Consumo humano,0.75,,58.00,PERCUSION,Colima y Barva,ABRA,212430,531800,1200.00,1,118,11801,PLAZA DEL SOL,1987-08-11
AB-1071,AGROPOZO,ALVARO RAMIREZ,,,,,,DOMESTICO,Consumo humano,1.00,,60.00,PERCUSION,Colima y Barva,ABRA,213630,516110,870.00,1,109,10901,POZOS,1987-08-11
AB-1072,AGROPOZO,MOTOROLA,,,,,,DOMESTICO,Consumo humano,0.57,,53.90,PERCUSION,Colima y Barva,ABRA,214120,528760,1200.00,1,108,10803,CALLE BLANCOS,1987-05-12
AB-1073,AGROPOZO,MOTOROLA,,,,,,DOMESTICO,Consumo humano,0.50,,,PERCUSION,Colima y Barva,ABRA,214720,528760,1200.00,1,108,10803,CALLE BLANCOS,1987-05-12
AB-1074,FONT S.A.,BERNAL VARGAS (VARGAS MATAMORO,,,,,,DOMESTICO,Consumo humano,1.50,,54.00,PERCUSION,Colima y Barva,ABRA,212450,513310,900.00,1,109,10905,PIEDADES,1987-05-19
AB-1075,HIDROMAQ S.A.,COLEGIO SION,,,,,,DOMESTICO,Consumo humano,1.50,,45.00,PERCUSION,Colima y Barva,ABRA,215650,530000,1200.00,1,114,11401,LOS COLEGIOS,1987-05-09
AB-1076,FONT S.A.,MAURICIO MENDI0LA (SAN BLAS),,,,,,DOMESTICO,Consumo humano,1.00,,50.00,OTRO,Colima y Barva,ABRA,213600,529750,1139.00,1,115,11503,BARRIO ESCALANT,1987-05-19
AB-1077,AGROPOZO,JOSE FRANCISCO CARBALLO,,,,,,DOMESTICO,Consumo humano,0.35,,30.50,PERCUSION,G Abra R Grande,ABRA,211225,520025,1100.00,1,102,10201,ESCAZU,1987-06-01
AB-1078,COSTARRICENSE S.A.,AMERICAN SANITARY,,,,,,INDUSTRIAL,Industrial y comercial,3.15,,60.00,PERCUSION,G Abra R Grande,ABRA,210050,531200,1180.00,1,118,11801,SAN FRANCISCO,1978-04-01
AB-1079,AGROPOZO,HERIEL S.A,,,,,,DOMESTICO,Consumo humano,0.25,,37.00,PERCUSION,G Abra R Grande,ABRA,211450,522925,1000.00,1,102,10202,SAN RAFAEL,1987-05-27
AB-108,COSTARRICENSE S.A.,NUMAR S.A.,,,,,,INDUSTRIAL,Industrial y comercial,1.57,,54.80,PERCUSION,Colima y Barva,ABRA,212070,526540,1033.80,1,101,10103,KILOMETRO 7,1968-06-11
AB-1080,SIN DATO,JORGE RODRIGUEZ,,,,,,DOMESTICO,Consumo humano,1.00,,30.00,ROTACION,Colima y Barva,ABRA,215950,530800,1200.00,1,114,11401,SAN VICENTE,1987-06-01
AB-1081,FONT S.A.,ASOC CULT MIRAVALLES,,,,,,DOMESTICO,Consumo humano,1.00,,42.00,OTRO,Colima y Barva,ABRA,214040,531640,1200.00,1,115,11503,RESID.MIRAVALLE,1987-06-01
AB-1082,FONT S.A.,INVERSIONES STEWART S.A,,,,,,DOMESTICO,Consumo humano,1.00,,35.00,OTRO,Colima y Barva,ABRA,213162,529850,1160.00,1,115,11501,BARRIO DENT,1987-06-11
AB-1083,FONT S.A.,ADELE SECEN GAM DE KISSLING,,,,,,DOMESTICO,Consumo humano,0.45,,31.00,OTRO,Colima y Barva,ABRA,212030,522580,1100.00,1,102,10203,BELLO HORIZONTE,1987-06-11
AB-1084,FONT S.A.,INMOVILIARIA PRISCILA S.A,,,,,,DOMESTICO,Consumo humano,0.50,,,OTRO,G Abra R Grande,ABRA,211650,521930,1100.00,1,102,10203,ESCAZU,1987-06-26
AB-1085,COSTARRICENSE S.A.,JACQUES R.HERVOT POUNCHASSE,,,,,,DOMESTICO,Consumo humano,0.50,,,PERCUSION,Colima y Barva,ABRA,213700,517650,875.00,1,109,10903,SANTA ANA,1987-06-06
AB-1086,COSTARRICENSE S.A.,,,,,,,DOMESTICO,Consumo humano,0.50,,,PERCUSION,Colima y Barva,ABRA,212550,520850,1100.00,1,102,10203,COUNTRY CLUB,1987-06-26
AB-1087,HIDROMAQ S.A.,AGROPECUARIA LA REINA,,,,,,DOMESTICO,Consumo humano,1.40,,35.00,PERCUSION,Colima y Barva,ABRA,212680,524681,1150.00,1,101,10108,SABANA SUR,1987-07-14
AB-1088,PACO S.A.,MINIMAX,,,,,,DOMESTICO,Consumo humano,1.20,,51.00,PERCUSION,Colima y Barva,ABRA,214420,530230,1200.00,1,108,10801,LUPE CENTRO,1987-07-27
AB-1089,LATINA S.A.,ESPH,,,,,,ABAST. PUBLICO,Consumo humano,72.45,,165.00,ROTACION,Colima y Barva,ABRA,218223,520059,1010.00,4,401,40104,Parque Industrial Barreal,1987-06-26
AB-109,SENARA,JUNTA  PROTECCION SOCIAL,,,,,,DOMESTICO,Consumo humano,0.50,,54.80,,Colima y Barva,ABRA,212720,526720,1150.00,1,101,10103,M.S.P,1968-07-02
AB-1090,COSTARRICENSE S.A.,AUTRAL FINANCE INC.,,,,,,DOMESTICO,Consumo humano,0.13,,42.00,PERCUSION,G Abra R Grande,ABRA,208350,521300,1360.00,1,102,10202,CALLE HOJA BLAN,1987-07-02
AB-1091,HIDROMAQ S.A.,INVERSIONES SAN SEBASTIAN,,,,,,DOMESTICO,Consumo humano,1.00,,,PERCUSION,G Abra R Grande,ABRA,211250,522700,1150.00,1,102,10202,BELLO HORIZONTE,1981-07-02
AB-1092,HIDROMAQ S.A.,ASOC.DESARROLLO INTEGRAL,,,,,,DOMESTICO,Consumo humano,1.27,,50.00,PERCUSION,Colima y Barva,ABRA,215950,511650,810.00,2,201,20108,OJO DE AGUA,1987-08-28
AB-1093,ARAGONES & CIA,FELIX R.RODRIGUEZ JIMENES,,,,,,DOMESTICO,Consumo humano,4.00,,70.00,PERCUSION,Colima y Barva,ABRA,215600,515600,850.00,1,109,10903,POZOS,1987-07-14
AB-1094,PACO S.A.,ALQUIJIRO S.A,,,,,,INDUSTRIAL,Industrial y comercial,,,,PERCUSION,G Abra R Grande,ABRA,210400,527061,1140.00,1,101,10111,LA ROTONDA,1987-07-14
AB-1095,,,,,,,,DOMESTICO,Consumo humano,0.50,,,PERCUSION,Colima y Barva,ABRA,213900,528250,,1,108,10802,EL PUBLO,1987-07-20
AB-1096,AGROPOZO,LADRILLERA SAN ANTONIO,,,,,,DOMESTICO,Consumo humano,0.50,,60.00,PERCUSION,G Abra R Grande,ABRA,209340,531780,,1,103,10305,LA LADRILLERA,1987-07-20
AB-1097,PACO S.A.,CONOPLAST.S.A,,,,,,ABAST. PUBLICO,Consumo humano,9.50,,,PERCUSION,Colima y Barva,ABRA,214920,529200,,1,108,10803,CALLE BLANCOS,1987-07-20
AB-1098,AGROPOZO,LOS LOJANOS S.A,,,,,,DOMESTICO,Consumo humano,6.35,,65.00,PERCUSION,Colima y Barva,ABRA,217900,513500,,2,201,20108,SAN RAFAEL,1987-07-24
AB-1099,AGROPOZO,LOS LAJONOS S.A,,,,,,DOMESTICO,Consumo humano,0.50,,80.00,OTRO,Colima y Barva,ABRA,216750,513550,860.00,2,201,20108,SAN RAFAEL,1987-07-24
AB-11,COSTARRICENSE S.A.,ORANGE CRUSH DE C.R.,,,,,,DOMESTICO,Consumo humano,1.26,,35.05,PERCUSION,Colima y Barva,ABRA,214410,527610,1148.00,1,113,11302,CINCO ESQUINAS,1967-06-29
AB-110,AQUASUB,S.C.I.S.P.,,,,,,DOMESTICO,Consumo humano,0.50,,54.80,ROTACION,Colima y Barva,ABRA,212400,526610,1150.00,1,101,10103,TANQUES DEL SUR,1968-07-02
AB-1100,ARAGONES & CIA,AGRICOLA LA SOLEDAD,,,,,,AGROINDUSTRIAL,Industrial y comercial,1.60,,69.00,PERCUSION,Colima y Barva,ABRA,218350,513200,,2,201,20108,SAN RAFAEL,1990-03-22
AB-1101,HIDROMAQ S.A.,FINANCIERA CAR CREDITO,,,,,,DOMESTICO,Consumo humano,1.77,,55.00,PERCUSION,Colima y Barva,ABRA,213200,527630,,1,101,10102,EL CARMEN,1987-08-14
AB-1102,AGROPOZO,ELBA MORA HIDALGO,,,,,,DOMESTICO,Consumo humano,1.00,,50.50,PERCUSION,Colima y Barva,ABRA,215515,528210,,1,113,11303,LLORENTE,1987-08-25
AB-1103,COSTARRICENSE S.A.,AMERICAN EMBASSY U.S.A.,,,,,,DOMESTICO,Consumo humano,1.26,,50.00,PERCUSION,Colima y Barva,ABRA,214900,522600,,1,101,10109,ROHOMOSER,1987-09-02
AB-1104,HIDROMAQ S.A.,ALBERTO PEREZ GONGORA,,,,,,DOMESTICO,Consumo humano,0.50,,,,G Abra R Grande,ABRA,210400,534350,,1,118,11803,,1987-09-02
AB-1105,HIDROMAQ S.A.,FABRICA DE ACUMULADORES,,,,,,INDUSTRIAL,Industrial y comercial,,,70.00,,Colima y Barva,ABRA,215600,523750,,1,101,10107,,1987-09-10
AB-1106,FONT S.A.,MARK JONES MONTGOMERY,,,,,,DOMESTICO,Consumo humano,0.80,,60.00,ROTACION,G Abra R Grande,ABRA,211380,522520,,1,102,10202,BELLO HORIZONTE,1987-09-10
AB-1107,HIDROMAQ S.A.,ENVASES ASEPTICOS C.AMER.,,,,,,INDUSTRIAL,Industrial y comercial,2.40,,35.00,PERCUSION,Colima y Barva,ABRA,217240,534150,,1,111,11104,,1987-09-17
AB-1108,FONT S.A.,JORGE MONTERO CARVALHO,,,,,,DOMESTICO,Consumo humano,0.80,,40.00,ROTACION,G Abra R Grande,ABRA,211950,516420,,1,109,10901,,1987-09-24
